23-03-31 13:42:12.699 | 15300:13016 | INFO | VERBOSE | Reading from "Software\Microsoft\Windows\CurrentVersion\Policies\OpenFin\RVM\AppSettings":
23-03-31 13:42:12.699 | 15300:13016 | INFO | VERBOSE | _______________________________________________________________
23-03-31 13:42:12.699 | 15300:13016 | INFO | VERBOSE | Global Configuration key: readTimeout missing. Using default value.
23-03-31 13:42:12.699 | 15300:13016 | INFO | VERBOSE | Global Configuration key: receiveTimeout missing. Using default value.
23-03-31 13:42:12.699 | 15300:13016 | INFO | VERBOSE | Global Configuration key: sendTimeout missing. Using default value.
23-03-31 13:42:12.699 | 15300:13016 | INFO | VERBOSE | Global Configuration key: connectTimeout missing. Using default value.
23-03-31 13:42:12.699 | 15300:13016 | INFO | NETWORK | Initializing WinINet
23-03-31 13:42:12.699 | 15300:13016 | INFO | NETWORK | Receive timeout: 30000
23-03-31 13:42:12.699 | 15300:13016 | INFO | NETWORK | Connect timeout: 30000
23-03-31 13:42:12.699 | 15300:13016 | INFO | NETWORK | Send timeout: 30000
23-03-31 13:42:12.699 | 15300:13016 | INFO | VERBOSE | Global Configuration key: remoteConfigUrl missing. Using default value.
23-03-31 13:42:12.699 | 15300:13016 | INFO | NETWORK | Get request for url: "https://cdn.openfin.co/release/rvm/RemoteConfig"
23-03-31 13:42:12.699 | 15300:13016 | INFO | NETWORK | Processing url: "https://cdn.openfin.co/release/rvm/RemoteConfig"
23-03-31 13:42:12.858 | 15300:13016 | INFO | NETWORK | StatusCode: 200
23-03-31 13:42:12.858 | 15300:13016 | INFO | NETWORK | ContentLength: 144
23-03-31 13:42:12.858 | 15300:13016 | INFO | NETWORK | Content-Type: text/plain
23-03-31 13:42:12.858 | 15300:13016 | INFO | NETWORK | ContentLength: 144
23-03-31 13:42:12.858 | 15300:13016 | INFO | NETWORK | Content-Type: text/plain
23-03-31 13:42:12.858 | 15300:13016 | INFO | NETWORK | Result: 1, total read: 144
23-03-31 13:42:12.858 | 15300:13016 | INFO | NETWORK | Get request completed in: 159 milliseconds
23-03-31 13:42:12.858 | 15300:13016 | INFO | VERBOSE | Global Configuration key: overrideEnvUrl missing. Using default value.
23-03-31 13:42:12.858 | 15300:13016 | INFO | NETWORK | Get request for url: "https://jsonblob.com/api/1088753725430054912"
23-03-31 13:42:12.858 | 15300:13016 | INFO | NETWORK | Processing url: "https://jsonblob.com/api/1088753725430054912"
23-03-31 13:42:12.921 | 15300:13016 | INFO | NETWORK | StatusCode: 200
23-03-31 13:42:12.921 | 15300:13016 | INFO | NETWORK | ContentLength: 112
23-03-31 13:42:12.921 | 15300:13016 | INFO | NETWORK | Content-Type: application/json
23-03-31 13:42:12.921 | 15300:13016 | INFO | NETWORK | ContentLength: 112
23-03-31 13:42:12.921 | 15300:13016 | INFO | NETWORK | Content-Type: application/json
23-03-31 13:42:12.921 | 15300:13016 | INFO | NETWORK | Result: 1, total read: 112
23-03-31 13:42:12.921 | 15300:13016 | INFO | NETWORK | Get request completed in: 63 milliseconds
23-03-31 13:42:12.921 | 15300:13016 | INFO | VERBOSE | Using Cloud DesktopOwnerSettings.
23-03-31 13:42:12.921 | 15300:13016 | INFO | VERBOSE | DesktopOwnerSettings JSON:
{
    "desktopSettings" : {
        "systemApps" : {
            "workspace" : {
                "customConfig" : {
                }
            }
        }
    }
}
23-03-31 13:42:12.921 | 15300:13016 | INFO | GENERAL | Parsing DesktopOwnerSettings configuration
23-03-31 13:42:12.921 | 15300:13016 | INFO | VERBOSE | _______________________________________________________________
23-03-31 13:42:12.921 | 15300:13016 | INFO | VERBOSE | Successfully parsed the following RVM settings keys/values
23-03-31 13:42:12.921 | 15300:13016 | INFO | VERBOSE | OpenFin System Applications: 
23-03-31 13:42:12.921 | 15300:13016 | INFO | VERBOSE | Global Configuration key: systemAppsEnvironment missing. Using default value.
23-03-31 13:42:12.921 | 15300:13016 | INFO | VERBOSE | 	workspace
23-03-31 13:42:12.921 | 15300:13016 | INFO | VERBOSE | _______________________________________________________________
23-03-31 13:42:12.921 | 15300:13016 | INFO | VERBOSE | DesktopOwnerSettings has been activated
23-03-31 13:42:12.921 | 15300:13016 | INFO | VERBOSE | Global Configuration key: rvmInstallDirectory missing. Using default value.
23-03-31 13:42:12.921 | 15300:13016 | INFO | GENERAL | rvmInstallDirectory not specified, defaulting to %LOCALAPPDATA%/OpenFin
23-03-31 13:42:12.921 | 15300:13016 | INFO | VERBOSE | Global Configuration key: assetsUrl missing. Using default value.
23-03-31 13:42:12.921 | 15300:13016 | INFO | VERBOSE | 	Using assetsUrl: https://cdn.openfin.co/release/
23-03-31 13:42:12.921 | 15300:13016 | INFO | VERBOSE | Global Configuration key: takeoverManagerExperimental missing. Using default value.
23-03-31 13:42:12.921 | 15300:13016 | INFO | VERBOSE | Global Configuration key: analyticsUrl missing. Using default value.
23-03-31 13:42:12.921 | 15300:13016 | INFO | VERBOSE | Global Configuration key: takeoverManagerExperimental missing. Using default value.
23-03-31 13:42:12.921 | 15300:13016 | INFO | GENERAL | Continuing on with loading app as we are currently the primary RVM.
23-03-31 13:42:12.921 | 15300:13016 | INFO | VERBOSE | Global Configuration key: protocolHandlerLocation missing. Using default value.
23-03-31 13:42:12.921 | 15300:13016 | ERROR | VERBOSE | Utils::Environment::IsUserSystemAccountError looking up account name: 122; assuming non-system account
23-03-31 13:42:12.921 | 15300:13016 | INFO | VERBOSE | Already registered fin protocol. Going to Delete and Create updated protocol.
23-03-31 13:42:12.938 | 15300:13016 | INFO | VERBOSE | Registered fin protocol
23-03-31 13:42:12.938 | 15300:13016 | ERROR | VERBOSE | Utils::Environment::IsUserSystemAccountError looking up account name: 122; assuming non-system account
23-03-31 13:42:12.938 | 15300:13016 | INFO | VERBOSE | Already registered fins protocol. Going to Delete and Create updated protocol.
23-03-31 13:42:12.938 | 15300:13016 | INFO | VERBOSE | Registered fins protocol
23-03-31 13:42:12.938 | 15300:13016 | INFO | VERBOSE | Initializing RVM cache
23-03-31 13:42:12.968 | 15300:13016 | INFO | GENERAL | [Working Directory] - C:\Users\Richard\AppData\Local\OpenFin
23-03-31 13:42:12.968 | 15300:13016 | INFO | GENERAL | Working dir has sufficient access !
23-03-31 13:42:12.968 | 15300:13016 | INFO | VERBOSE | Global Configuration key: assetsUrl missing. Using default value.
23-03-31 13:42:12.968 | 15300:13016 | INFO | VERBOSE | Global Configuration key: disableAutoUpdates missing. Using default value.
23-03-31 13:42:12.968 | 15300:13016 | INFO | VERBOSE | Global Configuration key: disableAutoUpdates missing. Using default value.
23-03-31 13:42:12.968 | 15300:13016 | INFO | NETWORK | Get request for url: "https://cdn.openfin.co/release/rvm/latestVersion"
23-03-31 13:42:12.968 | 15300:13016 | INFO | NETWORK | Processing url: "https://cdn.openfin.co/release/rvm/latestVersion"
23-03-31 13:42:13.078 | 15300:13016 | INFO | NETWORK | StatusCode: 200
23-03-31 13:42:13.078 | 15300:13016 | INFO | NETWORK | ContentLength: 9
23-03-31 13:42:13.078 | 15300:13016 | INFO | NETWORK | Content-Type: text/plain
23-03-31 13:42:13.078 | 15300:13016 | INFO | NETWORK | ContentLength: 9
23-03-31 13:42:13.078 | 15300:13016 | INFO | NETWORK | Content-Type: text/plain
23-03-31 13:42:13.078 | 15300:13016 | INFO | NETWORK | Result: 1, total read: 9
23-03-31 13:42:13.078 | 15300:13016 | INFO | NETWORK | Get request completed in: 110 milliseconds
23-03-31 13:42:13.078 | 15300:13016 | INFO | GENERAL | Running RVM version: 9.0.0.301, comparing to Latest: 9.0.0.301
23-03-31 13:42:13.078 | 15300:13016 | INFO | GENERAL | Currently running the latest RVM version, nothing to update.
23-03-31 13:42:13.078 | 15300:13016 | ERROR | GENERAL | Could not parse the remote config: Error while trying to access 'releaseConfig' key. Error: releaseConfig was not present in JSON object.
23-03-31 13:42:13.078 | 15300:13016 | INFO | VERBOSE | Global Configuration key: rvmInstallDirectory missing. Using default value.
23-03-31 13:42:13.078 | 15300:11464 | INFO | VERBOSE | Sending analytics event to https://ingest.openfin.co/desktop-analytics/
23-03-31 13:42:13.078 | 15300:4500 | INFO | NETWORK | HTTP task: "https://ingest.openfin.co/desktop-analytics/", type: POST
23-03-31 13:42:13.078 | 15300:4500 | INFO | NETWORK | Post request for url: "https://ingest.openfin.co/desktop-analytics/"
23-03-31 13:42:13.078 | 15300:4500 | INFO | NETWORK | Processing url: "https://ingest.openfin.co/desktop-analytics/"
23-03-31 13:42:13.078 | 15300:13016 | INFO | VERBOSE | Global Configuration key: connectTimeout missing. Using default value.
23-03-31 13:42:13.078 | 15300:13016 | INFO | VERBOSE | Global Configuration key: sendTimeout missing. Using default value.
23-03-31 13:42:13.078 | 15300:13016 | INFO | VERBOSE | Global Configuration key: receiveTimeout missing. Using default value.
23-03-31 13:42:13.078 | 15300:13016 | INFO | VERBOSE | Global Configuration key: readTimeout missing. Using default value.
23-03-31 13:42:13.078 | 15300:13016 | INFO | NETWORK | Receive timeout: 30000
23-03-31 13:42:13.078 | 15300:13016 | INFO | NETWORK | Connect timeout: 30000
23-03-31 13:42:13.078 | 15300:13016 | INFO | NETWORK | Send timeout: 30000
23-03-31 13:42:13.078 | 15300:13016 | INFO | VERBOSE | Global Configuration key: EnableStartMenuShortcut missing. Using default value.
23-03-31 13:42:13.078 | 15300:13016 | INFO | VERBOSE | Global Configuration key: EnableDesktopShortcut missing. Using default value.
23-03-31 13:42:13.078 | 15300:13016 | INFO | VERBOSE | Global Configuration key: EnableStartupShortcut missing. Using default value.
23-03-31 13:42:13.078 | 15300:13016 | INFO | VERBOSE | Global Configuration key: disableShortcutCreation missing. Using default value.
23-03-31 13:42:13.078 | 15300:13016 | INFO | VERBOSE | Global Configuration key: startMenuRootFolder missing. Using default value.
23-03-31 13:42:13.078 | 15300:13016 | INFO | PATHS | THIS_RVM_BINARY_DIR -> '"C:\Users\Richard\AppData\Local\OpenFin"'
23-03-31 13:42:13.078 | 15300:13016 | INFO | VERBOSE | Global Configuration key: runtimeDirectory missing. Using default value.
23-03-31 13:42:13.078 | 15300:13016 | INFO | PATHS | RUNTIME_INSTALLATIONS_DIR -> '"C:\Users\Richard\AppData\Local\OpenFin\runtime"'
23-03-31 13:42:13.078 | 15300:13016 | INFO | VERBOSE | Global Configuration key: runtimeCache missing. Using default value.
23-03-31 13:42:13.078 | 15300:13016 | INFO | PATHS | RUNTIME_PROFILES_DIR -> '"C:\Users\Richard\AppData\Local\OpenFin\cache"'
23-03-31 13:42:13.093 | 15300:13016 | INFO | VERBOSE | rescanConfigsIntervalMs: 01:00:00; licensingHeartbeatIntervalMs: 00:10:00
23-03-31 13:42:13.093 | 15300:13016 | INFO | VERBOSE | Global Configuration key: runtimeCache missing. Using default value.
23-03-31 13:42:13.093 | 15300:13016 | INFO | VERBOSE | Global Configuration key: runtimeDiagnosticsOffsetZero missing. Using default value.
23-03-31 13:42:13.093 | 15300:13016 | INFO | VERBOSE | Number of orphaned runtime processes detected: 0
23-03-31 13:42:13.109 | 15300:13016 | INFO | VERBOSE | Global Configuration key: disableCandidateEval missing. Using default value.
23-03-31 13:42:13.109 | 15300:13016 | INFO | VERBOSE | Global Configuration key: remoteConfigUrl missing. Using default value.
23-03-31 13:42:13.109 | 15300:13016 | INFO | VERBOSE | Global Configuration key: analyticsUrl missing. Using default value.
23-03-31 13:42:13.109 | 15300:13016 | INFO | VERBOSE | Creating Tray Icon Host
23-03-31 13:42:13.109 | 15300:12528 | INFO | VERBOSE | EvaluationConfig successfully initialized.
23-03-31 13:42:13.109 | 15300:13016 | INFO | VERBOSE | Global Configuration key: enableInstallationDetection missing. Using default value.
23-03-31 13:42:13.109 | 15300:13016 | INFO | VERBOSE | Global Configuration key: enableTrayIconShortcuts missing. Using default value.
23-03-31 13:42:13.109 | 15300:13016 | INFO | HEALTHCHECK_REQUEST_MAKER | Created
23-03-31 13:42:13.109 | 15300:13016 | INFO | VERBOSE | Global Configuration key: lrsUrl missing. Using default value.
23-03-31 13:42:13.109 | 15300:13016 | INFO | VERBOSE | 	Using RdmUrl: https://dl.openfin.co/services/
23-03-31 13:42:13.109 | 15300:13016 | INFO | NETWORK | Get request for url: "http://localhost:9000/app.json"
23-03-31 13:42:13.109 | 15300:13016 | INFO | NETWORK | Processing url: "http://localhost:9000/app.json"
23-03-31 13:42:13.109 | 15300:13016 | INFO | NETWORK | StatusCode: 200
23-03-31 13:42:13.109 | 15300:13016 | INFO | NETWORK | ContentLength: 496
23-03-31 13:42:13.109 | 15300:13016 | INFO | NETWORK | Content-Type: application/json; charset=UTF-8
23-03-31 13:42:13.109 | 15300:13016 | INFO | NETWORK | ContentLength: 496
23-03-31 13:42:13.109 | 15300:13016 | INFO | NETWORK | Content-Type: application/json; charset=UTF-8
23-03-31 13:42:13.109 | 15300:13016 | INFO | NETWORK | Result: 1, total read: 496
23-03-31 13:42:13.109 | 15300:13016 | INFO | NETWORK | Get request completed in: 0 milliseconds
23-03-31 13:42:13.109 | 15300:13016 | INFO | VERBOSE | JSON from http://localhost:9000/app.json:
{
    "devtools_port" : 9090,
    "licenseKey" : "64605fac-add3-48a0-8710-64b38e96a2dd",
    "platform" : {
        "autoShow" : true,
        "name" : "Playground",
        "providerUrl" : "http://localhost:9000/index.html",
        "uuid" : "playground"
    },
    "runtime" : {
        "arguments" : "",
